STATE/UT,CRIME HEAD,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
UTTARAKHAND,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,150,234,196,222,149,204,306,160,178,184,153,199,295,343
WEST BENGAL,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1163,1377,2021,1714,2027,2004,1712,1584,1640,1841,2243,2879,4913,5670
TOTAL (STATES),ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,41469,42390,41677,42684,42294,44093,46628,47833,47007,49077,52784,55805,67020,77747
A & N ISLANDS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,19,17,12,13,14,19,32,32,40,40,15,20,45,41
CHANDIGARH,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,33,39,19,24,36,28,39,22,39,28,24,54,143,87
D & N HAVELI,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,7,2,7,8,10,5,0,7,2,12,2,2,1,2
DAMAN & DIU,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,0,0,3,0,1,5,0,1,5,2,0,0,2,3
DELHI,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,650,634,647,756,968,887,1143,855,710,794,865,939,3515,4322
LAKSHADWEEP,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,0,1,1,0,0,0,1,0,0,0,0,0,1,1
PUDUCHERRY,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,66,78,78,94,101,79,160,85,53,71,77,7,12,32
TOTAL (UTs),ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,775,771,767,895,1130,1023,1375,1002,849,947,983,1022,3719,4488
TOTAL (ALL-INDIA),ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,42244,43161,42444,43579,43424,45116,48003,48835,47856,50024,53767,56827,70739,82235
ANDHRA PRADESH,INSULT TO THE MODESTY OF WOMEN,2268,2433,3066,2528,2963,2816,3614,3240,4178,3820,4122,4348,4702,3791
ARUNACHAL PRADESH,INSULT TO THE MODESTY OF WOMEN,3,4,0,0,0,2,5,1,2,1,0,0,3,3
ASSAM,INSULT TO THE MODESTY OF WOMEN,11,7,6,19,9,10,16,2,15,35,26,12,14,1
BIHAR,INSULT TO THE MODESTY OF WOMEN,37,16,20,18,27,55,19,30,16,22,9,39,52,69
CHHATTISGARH,INSULT TO THE MODESTY OF WOMEN,194,177,155,155,173,179,129,165,235,261,250,193,180,79
GOA,INSULT TO THE MODESTY OF WOMEN,8,8,6,17,9,6,6,12,10,22,16,17,54,57
GUJARAT,INSULT TO THE MODESTY OF WOMEN,147,142,111,251,125,143,179,161,188,131,168,117,77,173
HARYANA,INSULT TO THE MODESTY OF WOMEN,480,1612,1347,959,755,584,576,731,717,635,564,558,643,102
HIMACHAL PRADESH,INSULT TO THE MODESTY OF WOMEN,18,16,18,17,34,34,12,55,40,73,56,91,111,60
JAMMU & KASHMIR,INSULT TO THE MODESTY OF WOMEN,367,458,471,319,442,469,465,401,512,295,458,447,354,237
JHARKHAND,INSULT TO THE MODESTY OF WOMEN,46,3,29,29,88,33,23,63,38,20,16,51,18,18
KARNATAKA,INSULT TO THE MODESTY OF WOMEN,71,83,57,63,53,42,44,38,40,22,44,147,137,170
KERALA,INSULT TO THE MODESTY OF WOMEN,127,113,222,148,198,230,281,302,456,604,598,538,404,257
MADHYA PRADESH,INSULT TO THE MODESTY OF WOMEN,1123,1110,907,1032,878,970,1104,958,1047,1182,850,1056,736,429
MAHARASHTRA,INSULT TO THE MODESTY OF WOMEN,1314,972,951,1092,1256,1195,1291,1352,1337,1515,1300,1548,2632,1575
MANIPUR,INSULT TO THE MODESTY OF WOMEN,0,0,0,0,0,0,0,0,1,0,1,0,0,0
MEGHALAYA,INSULT TO THE MODESTY OF WOMEN,0,0,1,0,0,0,0,2,1,0,0,0,0,54
MIZORAM,INSULT TO THE MODESTY OF WOMEN,0,1,0,0,6,0,0,0,1,0,0,1,0,29
NAGALAND,INSULT TO THE MODESTY OF WOMEN,0,0,5,0,0,2,1,0,0,3,0,0,1,1
ODISHA,INSULT TO THE MODESTY OF WOMEN,539,244,299,255,293,311,317,352,297,354,313,376,426,379
PUNJAB,INSULT TO THE MODESTY OF WOMEN,57,185,225,43,42,75,59,61,50,42,34,45,67,35
RAJASTHAN,INSULT TO THE MODESTY OF WOMEN,58,62,33,51,38,33,34,15,24,22,13,20,25,18
SIKKIM,INSULT TO THE MODESTY OF WOMEN,18,0,0,0,0,0,0,0,0,0,0,0,0,3
TAMIL NADU,INSULT TO THE MODESTY OF WOMEN,1229,1857,884,1037,787,857,931,1245,568,739,490,470,313,229
TRIPURA,INSULT TO THE MODESTY OF WOMEN,0,0,0,0,1,0,4,8,10,9,9,15,7,11
UTTAR PRADESH,INSULT TO THE MODESTY OF WOMEN,3961,2771,6126,4176,4469,3852,4149,4958,3878,15,3,14,25,29
UTTARAKHAND,INSULT TO THE MODESTY OF WOMEN,137,135,167,267,179,186,128,459,419,282,111,103,72,4
WEST BENGAL,INSULT TO THE MODESTY OF WOMEN,56,49,84,90,66,76,118,156,120,165,225,617,577,543
TOTAL (STATES),INSULT TO THE MODESTY OF WOMEN,12269,12458,15190,12566,12891,12160,13505,14767,14200,10269,9676,10823,11630,8356
A & N ISLANDS,INSULT TO THE MODESTY OF WOMEN,1,3,2,3,3,6,0,4,8,14,7,6,8,5
CHANDIGARH,INSULT TO THE MODESTY OF WOMEN,17,31,3,24,13,20,15,3,6,2,11,32,26,2
D & N HAVELI,INSULT TO THE MODESTY OF WOMEN,0,0,0,0,0,1,0,0,0,2,1,0,1,1
DAMAN & DIU,INSULT TO THE MODESTY OF WOMEN,0,0,0,0,0,0,0,0,1,0,0,0,0,0
DELHI,INSULT TO THE MODESTY OF WOMEN,107,171,113,137,255,163,181,141,132,89,165,231,916,1361
LAKSHADWEEP,INSULT TO THE MODESTY OF WOMEN,0,0,0,0,0,0,0,0,0,0,0,0,0,2
PUDUCHERRY,INSULT TO THE MODESTY OF WOMEN,45,35,43,41,30,70,52,28,21,28,20,17,8,8
TOTAL (UTs),INSULT TO THE MODESTY OF WOMEN,170,240,161,205,301,260,248,176,168,135,204,286,959,1379
TOTAL (ALL-INDIA),INSULT TO THE MODESTY OF WOMEN,12439,12698,15351,12771,13192,12420,13753,14943,14368,10404,9880,11109,12589,9735
ANDHRA PRADESH,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),9725,12134,15784,15583,15409,15531,18016,19398,19018,21572,20719,21251,15084,12731
ARUNACHAL PRADESH,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),9,5,9,4,12,8,18,12,12,11,16,26,29,42
ASSAM,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),1515,2108,2473,3171,3439,3200,3818,3577,5753,6208,4894,5435,8636,9626
BIHAR,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),3838,4278,3940,4123,3151,3124,3973,3732,4939,3850,5134,6963,4533,4672
CHHATTISGARH,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),1439,1519,1528,2267,1923,1932,2195,2297,2462,2450,2200,2581,1181,964
GOA,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),36,11,55,45,14,34,47,23,46,41,21,54,40,35
GUJARAT,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),10192,9413,10818,12236,13272,14878,18050,18602,17595,16877,18141,19982,7812,5991
HARYANA,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),3134,3159,3044,3427,3303,3538,3880,3712,3661,4057,3533,3606,3617,3478
HIMACHAL PRADESH,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),648,485,460,534,541,506,718,731,648,677,507,505,328,325
JAMMU & KASHMIR,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),110,113,149,172,130,222,320,290,469,418,617,634,428,467
JHARKHAND,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),943,1125,1025,1025,965,1141,1193,1651,1560,1600,1346,2207,2084,1462
KARNATAKA,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),3413,3219,3419,2795,3334,3488,4182,4827,5784,6515,6801,6317,3276,3025
KERALA,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),4288,5028,5004,5637,6287,6771,6626,6303,5828,7522,7305,6923,4820,4919
MADHYA PRADESH,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),7155,8497,8265,10310,8498,8416,9424,10196,11182,10253,10313,11104,4988,6451
MAHARASHTRA,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),20940,20255,19932,20490,22959,24060,24745,25979,29493,28261,26325,27379,8542,7696
MANIPUR,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),4,11,10,0,18,6,15,12,25,13,22,21,29,41
MEGHALAYA,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),3,0,1,3,3,8,13,29,6,11,34,14,23,42
MIZORAM,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),0,3,2,0,0,0,1,5,4,3,7,7,5,8
NAGALAND,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),0,0,0,0,0,5,0,4,0,3,1,0,4,3
ODISHA,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),1972,2076,2215,2086,2671,2661,2089,2121,2915,4840,3739,4699,2792,3114
PUNJAB,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2746,2514,2177,1939,1544,1683,1911,1963,1871,2159,2229,2288,1741,1681
RAJASTHAN,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),7082,7312,7058,8116,6799,8277,8486,8027,9326,9113,9791,9949,15094,15905
SIKKIM,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),0,3,1,1,3,4,8,5,12,4,4,6,5,5
TAMIL NADU,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),1545,1797,2558,2540,2606,2392,3538,3351,2697,2981,2879,4019,2471,2103
TRIPURA,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),252,249,477,493,882,857,618,1064,1760,1172,1776,1147,827,702
UTTAR PRADESH,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),19827,17126,7089,14394,14154,14590,23465,27984,31807,29853,33465,36115,8781,10471
UTTARAKHAND,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),746,802,854,1454,698,989,1437,570,890,625,382,484,435,301
WEST BENGAL,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),6645,8792,9549,10212,12201,15354,14700,17521,13884,18387,17583,22911,18116,23278
TOTAL (STATES),CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),108207,112034,107896,123057,124816,133675,153486,163986,173647,179476,179784,196627,115721,119538
A & N ISLANDS,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),7,3,15,15,7,7,34,23,35,12,8,4,9,14
CHANDIGARH,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),33,51,112,134,142,190,143,80,28,18,24,86,92,141
D & N HAVELI,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),4,8,2,6,13,6,3,11,0,14,4,0,1,6
